12.734857,77.572998,hongemara
12.7352339309,77.707915362,karpura gate karpoora anekal taluk in front of a.n.elite garden
12.73524,77.60297,kuppasiddana doddi
12.7353188396,77.5073704496,betta halli kaval bettahalli kaval in front of maramma temple
12.7353257127,77.7080119215,karpura gate anekal taluk beside a.n.elite gardern
12.7353297615,77.7076558485,karpura gate karpoora anekal taluk opposite of a.n.elite garden
12.735411,77.730822,thattanahalli gate thattanahalli
12.73567,77.708137,karpoora gate karpoora tea shop
12.73739,77.47202,bokipura
12.737629,77.634529,kadajakkanahalli
12.737817986,77.4113302935,chowkahalli
12.738939,77.574412,ragihalli
12.73943,77.52283,nishane
12.7396418061,77.74989428,halehalli anekal taluk in front of government ration society
12.7401781149,77.6688827949,suragajakkanahalli anekal road petty shop
12.7402618325,77.6690115409,suragajakkanahalli anekal road opp to provision stores
12.74063,77.64611,gollhalli open area
12.7407989278,77.4807087053,voderahalli vaderahalli in front of milk dairy
12.7408204693,77.4881617259,gantakanadoddi cross gantakana doddi in front of s.b.bakery
12.7412429695,77.4015976109,ramanahalli ramanahalli opposite of residential area
12.7414340246,77.4883395061,gantakanadoddi cross gantakana doddi in front of nishu vikas sweets & bakery
12.7426084963,77.4502003077,hosur
12.7426274016,77.4487083512,hosur hosuru in front of milk dairy
12.7431295098,77.4627996614,allalasandra karikaldoddi beside open area
12.74322,77.6049,colony mahadevana doddi
12.7434067637,77.3772127574,uragahalli bidadi uragahalli opposite of maramma & anjaneya temple
12.7439254615,77.4788993876,thokathimmanadoddi cross tokathimana doddi opposite of narayana estate
12.7449780609,77.7250983473,thattaguppe
12.7453050674,77.5233726069,girigowdana doddi girigowda doddi in front of government higher primary school
12.7453606122,77.5232919905,girigowdana doddi girigowda doddi opposite of government higher primary school
12.7456761897,77.7571552712,kodalipura anekal taluk opposite of government primary school
12.7463457971,77.7075993547,ahuddevanahalli gate  anekal taluk in front of m.g.b.classic layout
12.7463600369,77.707890532,ahuddevanahalli gate  anekal taluk opposite of m.g.b.classic layout
12.746658,77.707681,avadadenahalli avadadenahalli tree
12.7467277031,77.6897901803,doddahagade anekal taluk opposite of agriculture service co-operative society
12.7468120095,77.6897852555,doddahagade anekal taluk in front of agriculture service co-operative society
12.747153,77.575451,nagammana doddi
12.7471691743,77.4332233798,bannigiri banigiri beside open area
12.74731,77.60912,mahadevana doddi
12.7477039397,77.6797456294,soppahalli anekal taluk beside sri renuka yellamma devi temple
12.7477245592,77.7746035438,dasarahalli
